mts,open,close,high,low,volume
1631736000000,48094.0,48055.0,48186.0,48053.0,21.56808836
1631736900000,48055.0,48007.0,48127.0,48000.0,10.05171257
1631737800000,48013.0,48072.0,48074.0,47967.62855539,11.6657883
1631738700000,48054.0,47937.0,48060.0,47933.43688255,6.65803147
1631739600000,47936.0,48031.0,48060.41435018,47929.0,23.216375460000002
1631740500000,48031.0,48185.0,48220.0,48028.0,12.80364114
1631741400000,48191.0,48221.0,48252.09665366,48185.0,17.57400243
1631742300000,48221.0,48182.0,48232.0,48179.0,21.8541185
1631743200000,48186.0,48098.0,48186.0,48096.0,14.02727993
1631744100000,48110.63989638,48051.0,48171.2499365,48051.0,7.1774403
1631745000000,48051.0,48125.0,48142.0,48022.0,13.98426444
1631745900000,48120.0,48300.0,48300.0,48103.0,25.10899902
1631746800000,48300.0,48385.90362097,48386.0,48259.0,37.46008826
1631747700000,48386.0,48200.0,48444.0,48160.0,102.13925158
1631748600000,48209.0,48072.0,48210.0,48049.0,37.34225904
1631749500000,48072.0,48137.0,48199.0,48039.0,13.33694421
1631750400000,48137.76809977,48187.22679686,48188.91750436,48041.0,27.90728635
1631751300000,48185.0,48050.0,48188.1407146,47977.02571649,55.06191591
1631752200000,48050.0,47913.0,48050.0,47900.0,36.35283492
1631753100000,47926.0,47927.0,47965.0,47900.0,9.34949158
1631754000000,47911.0,48076.0,48076.0,47891.0,11.26204832
1631754900000,48076.0,47993.0,48080.0,47991.0,22.38024973
1631755800000,48011.0,47961.8464861,48015.0,47950.0,8.13342033
1631756700000,47961.8464861,48000.96027538,48039.0,47961.0,3.53649636
1631757600000,48000.0,48099.0,48114.0,47911.0,14.03966902
1631758500000,48083.0,48013.0,48083.0,48012.0,1.63752846
1631759400000,48013.0,47895.0,48013.0,47788.0,21.26954993
1631760300000,47895.0,47942.0,47989.0,47883.0,24.20004465
1631761200000,47955.0,47798.0,47963.13160809,47791.0,22.43984257
1631762100000,47798.0,47440.0,47798.0,47375.0,152.38846322
1631763000000,47441.0,47535.0,47558.0,47400.0,47.77796212
1631763900000,47534.0,47627.0,47680.0,47527.0,24.95384661
1631764800000,47620.0,48037.0,48085.0,47604.75443278,112.85141612
1631765700000,48012.0,48224.91181538,48305.0,47936.0,73.88832047
1631766600000,48224.91181538,48379.0,48406.0,48182.0,52.71116339
1631767500000,48378.0,48311.0,48489.0,48293.0,72.90507714
1631768400000,48311.5031744,48275.0,48331.02803098,48197.0,4.4108635000000005
1631769300000,48275.0,48378.0,48380.0,48259.81422758,6.9152467699999995
1631770200000,48380.0,48364.72028383,48381.0,48320.80131154,6.27614694
1631771100000,48348.12196994,48266.0,48350.0,48251.0,3.3033322
1631772000000,48272.0,48298.29445367,48322.0,48272.0,9.35672103
1631772900000,48299.0,48390.0,48449.0,48288.22925893,11.42159054
1631773800000,48398.0,48429.0,48437.0,48364.0,20.00271766
1631774700000,48429.11696483,48400.97493612,48438.0,48400.0,36.90979291
1631775600000,48400.97493612,48451.0,48530.0,48400.97493612,70.10769531
1631776500000,48450.90351679,48401.0,48451.0,48400.0,12.14531361
1631777400000,48401.0,48422.0,48436.0,48363.0,16.74879351
1631778300000,48422.0,48378.0,48438.0,48369.0,17.97187964
1631779200000,48378.0,48327.0,48387.0,48246.0,29.8668326
1631780100000,48333.0,48108.0,48333.0,48073.0,57.528454860000004
1631781000000,48109.0,48140.0,48150.0,48100.0,68.65527004
1631781900000,48146.0,48117.0,48201.0,48100.0,22.70946886
1631782800000,48104.0,48159.0,48175.0,48073.0,48.75302556
1631783700000,48158.0,48259.0,48269.0,48005.0,26.6174955
1631784600000,48255.0,48183.51412976,48255.0,48167.0,9.696161720000001
1631785500000,48173.84094521,47950.0,48173.84094521,47910.0,20.072936900000002
1631786400000,47939.0,47973.0,48025.0,47919.0,15.71668482
1631787300000,47963.0,47821.0,47979.0,47776.0,42.7040448
1631788200000,47806.0,47914.0,47915.0,47700.0,46.87453839
1631789100000,47913.0,47866.0,48070.0,47861.0,46.19788055
1631790000000,47882.0,47949.0,47949.0,47809.0,32.76837193
1631790900000,47948.3403508,48046.0,48046.14126103,47926.0,26.46385115
1631791800000,48046.0,47980.25278267,48049.0,47956.0,7.9476604
1631792700000,47980.0,47952.06676751,47996.0,47931.90928301,4.83525631
1631793600000,47939.11820274,47869.0,48069.0,47800.0,27.45696318
1631794500000,47884.0,47918.0,48019.0,47850.47763321,28.11392313
1631795400000,47917.0,48160.8691748,48171.0,47895.55203957,31.29350894
1631796300000,48166.0,48062.0,48174.0,48050.0,9.48889727
